報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年23週(06月05日～06月11日),2023年06月14日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
三重県,347,7.89,9,0.2,11,0.24,7,0.16,13,0.3,9,0.2,9,0.2,3,0.07,4,0.09,7,0.16,3,0.07,5,0.11,16,0.36,20,0.44,15,0.33,5,0.11,19,0.42,15,0.33,18,0.4,21,0.47,24,0.53,38,0.84,41,0.91,35,0.78
滋賀県,469,13.4,7,0.19,3,0.08,19,0.53,6,0.17,11,0.31,0,0,10,0.28,17,0.47,16,0.44,13,0.36,14,0.39,13,0.36,11,0.31,12,0.34,18,0.5,48,1.33,19,0.53,11,0.32,23,0.64,24,0.67,59,1.64,58,1.61,57,1.58
京都府,1845,24.28,25,0.33,54,0.71,66,0.87,54,0.71,50,0.66,31,0.41,64,0.84,65,0.86,49,0.64,63,0.83,53,0.7,48,0.64,66,0.87,50,0.66,35,0.46,84,1.11,93,1.26,67,0.88,104,1.37,151,1.96,179,2.32,208,2.74,186,2.42
大阪府,4199,21.76,33,0.17,51,0.26,75,0.39,111,0.57,71,0.37,88,0.45,83,0.43,67,0.35,92,0.47,71,0.36,126,0.65,99,0.51,111,0.57,123,0.63,156,0.8,213,1.11,242,1.24,153,0.79,293,1.54,413,2.17,482,2.52,526,2.74,520,2.72
兵庫県,1451,11.34,16,0.12,27,0.21,41,0.32,25,0.19,34,0.26,37,0.29,39,0.3,41,0.32,38,0.29,39,0.3,33,0.26,23,0.18,47,0.36,36,0.28,54,0.42,72,0.56,64,0.5,54,0.43,124,0.96,152,1.18,151,1.17,144,1.12,160,1.24
奈良県,416,12.24,7,0.21,10,0.29,7,0.21,12,0.35,16,0.47,5,0.15,6,0.18,6,0.18,10,0.29,9,0.26,8,0.24,13,0.38,6,0.18,15,0.44,19,0.56,18,0.53,12,0.35,4,0.12,33,0.97,32,0.94,45,1.32,51,1.5,72,2.12
和歌山県,509,16.97,3,0.1,9,0.3,5,0.17,4,0.13,5,0.17,9,0.3,11,0.37,9,0.3,15,0.5,11,0.37,16,0.53,26,0.87,9,0.3,8,0.27,9,0.3,20,0.67,19,0.63,20,0.67,34,1.13,49,1.63,72,2.4,70,2.33,76,2.53
鳥取県,710,37.37,13,0.68,18,0.95,22,1.16,18,0.95,20,1.05,25,1.32,36,1.89,23,1.21,27,1.42,35,1.84,28,1.47,24,1.26,14,0.74,40,2.11,39,2.05,31,1.63,31,1.63,33,1.74,44,2.32,20,1.05,62,3.26,49,2.58,58,3.05
島根県,120,5.22,3,0.13,3,0.13,3,0.13,4,0.17,2,0.09,7,0.3,8,0.35,3,0.13,3,0.13,6,0.26,4,0.17,6,0.26,4,0.17,4,0.17,1,0.04,4,0.17,8,0.35,5,0.22,7,0.3,8,0.35,8,0.35,8,0.35,11,0.48
岡山県,308,5.7,10,0.19,7,0.13,3,0.06,8,0.15,18,0.33,10,0.19,9,0.17,3,0.06,7,0.13,11,0.2,9,0.17,8,0.15,6,0.11,5,0.09,6,0.11,19,0.35,33,0.61,14,0.26,16,0.3,20,0.37,31,0.57,31,0.57,24,0.44
広島県,1181,16.63,9,0.13,14,0.19,23,0.32,20,0.28,22,0.31,40,0.56,22,0.31,24,0.33,30,0.42,38,0.53,17,0.24,41,0.57,36,0.5,24,0.33,35,0.49,50,0.69,67,0.93,45,0.63,71,1,107,1.51,118,1.66,159,2.24,169,2.38
山口県,883,20.07,19,0.42,23,0.51,10,0.22,11,0.24,12,0.27,22,0.49,20,0.44,7,0.16,13,0.29,24,0.53,27,0.6,29,0.64,24,0.53,20,0.44,28,0.65,61,1.42,55,1.28,66,1.53,65,1.51,78,1.81,84,1.95,65,1.51,120,2.79
徳島県,69,3,0,0,1,0.04,1,0.04,0,0,2,0.09,1,0.04,1,0.04,0,0,1,0.04,1,0.04,3,0.13,1,0.04,4,0.17,2,0.09,4,0.17,3,0.13,5,0.22,3,0.13,6,0.26,4,0.17,7,0.3,7,0.3,12,0.52
香川県,66,2.36,0,0,3,0.11,2,0.07,4,0.14,2,0.07,1,0.04,1,0.04,2,0.07,1,0.04,1,0.04,2,0.07,2,0.07,0,0,2,0.07,3,0.11,4,0.14,2,0.07,3,0.11,5,0.18,9,0.32,5,0.18,4,0.14,8,0.29
愛媛県,548,15.22,24,0.65,13,0.35,19,0.51,13,0.35,12,0.32,22,0.59,27,0.73,17,0.46,6,0.16,28,0.76,16,0.43,14,0.38,14,0.39,9,0.24,13,0.35,53,1.43,73,1.97,15,0.41,40,1.08,24,0.65,32,0.86,35,0.95,29,0.78
高知県,220,8.46,0,0,5,0.19,4,0.15,6,0.22,14,0.52,7,0.26,11,0.41,5,0.19,9,0.33,15,0.56,11,0.41,5,0.19,8,0.3,3,0.11,5,0.19,8,0.3,4,0.15,5,0.19,4,0.15,17,0.65,27,1.04,28,1.08,19,0.73
福岡県,5837,48.64,55,0.46,121,1.01,152,1.27,115,0.96,158,1.32,103,0.86,194,1.62,192,1.6,181,1.51,217,1.81,198,1.65,179,1.49,280,2.33,244,2.03,289,2.41,306,2.55,334,2.78,204,1.7,323,2.69,411,3.43,529,4.41,513,4.28,539,4.49
佐賀県,201,8.74,4,0.17,4,0.17,4,0.17,5,0.22,10,0.43,5,0.22,7,0.3,13,0.57,8,0.35,8,0.35,9,0.39,8,0.35,7,0.3,2,0.09,9,0.39,8,0.35,7,0.3,5,0.22,11,0.48,18,0.78,14,0.61,21,0.91,14,0.61
長崎県,1730,39.32,61,1.39,81,1.84,102,2.32,92,2.09,114,2.59,75,1.7,73,1.66,89,2.02,92,2.09,79,1.8,81,1.84,81,1.84,69,1.57,46,1.05,27,0.61,27,0.61,42,0.95,62,1.41,92,2.09,103,2.34,101,2.3,78,1.77,63,1.43
熊本県,436,8.9,6,0.12,5,0.1,8,0.16,4,0.08,8,0.16,10,0.2,11,0.22,16,0.32,20,0.4,25,0.5,2,0.04,8,0.16,8,0.16,7,0.15,11,0.23,22,0.46,34,0.69,12,0.24,26,0.52,33,0.66,52,1.04,55,1.12,53,1.06
大分県,491,13.64,8,0.22,6,0.17,11,0.31,10,0.28,9,0.25,8,0.22,18,0.5,8,0.22,12,0.33,9,0.25,16,0.44,15,0.42,12,0.33,17,0.47,15,0.42,29,0.81,47,1.31,32,0.89,39,1.08,43,1.19,33,0.92,51,1.42,43,1.19
宮崎県,536,15.31,16,0.44,5,0.14,8,0.23,10,0.28,10,0.28,10,0.28,20,0.56,21,0.58,11,0.31,27,0.75,15,0.42,22,0.61,23,0.64,25,0.69,47,1.31,38,1.06,30,0.86,21,0.58,25,0.69,52,1.44,38,1.06,24,0.67,38,1.06
鹿児島県,601,11.34,11,0.2,8,0.15,14,0.26,7,0.13,13,0.24,22,0.41,14,0.26,14,0.26,19,0.35,36,0.67,24,0.44,22,0.41,18,0.35,12,0.23,26,0.49,33,0.62,29,0.55,29,0.55,42,0.79,64,1.21,49,0.92,55,1.04,40,0.75
沖縄県,960,30,22,0.67,7,0.21,18,0.55,23,0.7,28,0.85,26,0.81,34,1.06,24,0.75,43,1.34,49,1.53,50,1.56,38,1.19,37,1.12,40,1.21,44,1.38,61,1.91,54,1.69,38,1.23,55,1.77,72,2.32,52,1.68,81,2.61,64,2.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,411487,130.92,10989,3.5,18261,5.79,24310,7.71,23297,7.39,24968,7.91,22902,7.27,23109,7.33,19605,6.23,18776,5.95,18593,5.91,16869,5.38,13275,4.22,11753,3.73,11682,3.72,13166,4.2,15589,4.97,15561,4.96,10898,3.48,16540,5.27,20505,6.54,20341,6.48,20802,6.63,19696,6.29
北海道,8453,61.25,157,1.15,296,2.13,358,2.59,424,3.09,365,2.63,383,2.76,442,3.18,420,3.02,468,3.37,401,2.88,356,2.56,310,2.23,224,1.61,279,2.01,319,2.29,416,2.97,394,2.81,231,1.66,364,2.66,419,3.06,468,3.42,452,3.3,507,3.7
青森県,4287,107.18,76,1.81,143,3.4,251,5.98,296,7.05,394,9.38,374,8.9,396,9.43,311,7.4,311,7.4,213,5.07,210,5,148,3.52,122,2.9,101,2.53,81,2.03,113,2.83,106,2.65,57,1.43,111,2.92,107,2.82,121,3.18,96,2.53,149,3.92
岩手県,4790,122.82,112,2.8,176,4.4,262,6.55,326,8.15,397,9.93,278,6.95,298,7.45,225,5.63,240,6,246,6.15,237,5.93,154,3.85,137,3.43,124,3.18,121,3.1,164,4.21,178,4.56,93,2.33,147,3.68,203,5.08,203,5.08,226,5.65,243,6.08
宮城県,8050,143.75,128,2.21,280,4.83,364,6.28,473,8.16,584,10.07,629,10.84,491,8.47,412,7.1,519,8.95,597,10.29,497,8.57,308,5.31,287,4.95,209,3.73,191,3.47,196,3.56,245,4.45,187,3.4,249,4.61,269,4.98,326,6.04,307,5.69,302,5.49
秋田県,2391,72.45,38,1.15,55,1.67,99,3,156,4.73,214,6.48,164,4.97,202,6.12,157,4.76,139,4.21,112,3.39,95,2.88,95,2.88,69,2.09,78,2.29,66,1.94,93,2.74,68,2,62,1.82,86,2.53,92,2.71,68,2,90,2.65,93,2.74
山形県,3868,138.14,96,3.31,171,5.9,308,10.62,234,8.07,341,11.76,320,11.03,335,11.55,261,9,199,6.86,174,6,133,4.59,85,2.93,101,3.48,62,2.21,70,2.5,84,3,80,2.86,51,1.82,101,3.61,168,6,146,5.21,148,5.29,200,7.14
福島県,5024,102.53,105,2.1,188,3.76,297,5.94,360,7.2,381,7.62,413,8.26,392,7.84,345,6.9,296,5.92,286,5.72,247,4.94,153,3.06,122,2.44,124,2.48,164,3.28,152,3.04,158,3.16,103,2.06,113,2.31,152,3.1,145,2.96,159,3.24,169,3.45
茨城県,7207,96.09,284,3.79,427,5.77,421,5.61,400,5.33,458,6.11,395,5.27,403,5.37,329,4.39,295,3.93,276,3.68,311,4.15,219,2.92,165,2.17,151,2.01,154,2.05,206,2.75,235,3.05,237,3.16,266,3.55,366,4.88,402,5.36,417,5.56,390,5.2
栃木県,4239,88.31,115,2.4,166,3.46,317,6.6,392,8.17,398,8.29,333,6.94,343,7.15,291,6.06,210,4.38,153,3.19,232,4.83,142,2.96,119,2.48,94,1.96,125,2.6,112,2.33,123,2.56,68,1.42,70,1.46,114,2.38,122,2.54,96,2,104,2.17
群馬県,6570,123.96,216,4.08,309,5.83,473,8.92,473,8.92,472,8.91,438,8.26,432,8.15,347,6.55,297,5.6,241,4.55,219,4.13,176,3.32,167,3.15,174,3.22,152,2.81,194,3.59,240,4.44,133,2.51,196,3.63,249,4.61,260,4.81,356,6.59,356,6.59
埼玉県,25003,155.3,859,5.61,1471,9.19,1614,10.02,1526,9.48,1386,8.61,1181,7.34,1160,7.25,977,6.07,893,5.55,885,5.5,733,4.64,602,3.74,565,3.58,580,3.56,655,4.04,922,5.69,849,5.27,663,4.07,1129,6.93,1540,9.45,1634,10.02,1670,10.18,1509,9.2
千葉県,17503,135.68,631,4.89,1152,8.86,1332,10.17,1183,8.89,1154,8.74,970,7.46,906,6.86,729,5.52,601,4.59,591,4.51,537,4.23,395,3.04,401,3.11,396,3.07,443,3.41,461,3.55,469,3.64,392,3.11,732,5.63,938,7.33,1009,7.82,1059,8.21,1022,7.98
東京都,36866,142.34,1212,4.72,2167,8.3,2796,10.71,2337,8.95,2269,8.73,1749,6.73,1835,7.06,1464,5.7,1391,5.37,1372,5.32,1278,4.99,1049,4.05,898,3.47,954,3.67,1130,4.35,1354,5.23,1348,5.16,1027,3.98,1532,5.87,1937,7.39,1955,7.46,2013,7.68,1799,6.89
神奈川県,27214,119.89,863,3.82,1597,6.94,2151,9.39,1946,8.57,1966,8.62,1574,6.96,1435,6.32,1151,5.07,934,4.04,972,4.34,907,4.1,675,2.96,634,2.78,591,2.6,633,2.8,821,3.62,794,3.53,609,2.71,1002,4.36,1437,6.25,1452,6.34,1609,7,1461,6.52
新潟県,6348,115.42,143,2.55,208,3.71,353,6.3,346,6.18,357,6.38,359,6.41,379,6.77,347,6.2,301,5.38,312,5.57,258,4.61,217,3.88,178,3.3,216,4,238,4.41,280,5.19,276,5.11,125,2.31,278,5.15,269,4.98,247,4.57,361,6.69,300,5.56
富山県,6442,222.14,79,2.72,167,5.76,277,9.55,318,10.97,356,12.28,407,14.03,356,12.28,365,12.59,326,11.24,420,14.48,310,10.69,210,7.24,246,8.48,235,8.1,259,8.93,273,9.41,352,12.14,214,7.38,245,8.45,249,8.59,269,9.28,307,10.59,202,6.97
石川県,6278,216.48,159,5.48,242,8.34,379,13.07,347,11.97,340,11.72,292,10.07,327,11.28,269,9.28,223,7.69,237,8.17,223,7.69,228,7.86,287,9.9,309,10.66,360,12.41,363,12.52,300,10.34,216,7.45,237,8.17,265,9.14,234,8.07,240,8.28,201,6.93
福井県,2849,123.87,122,5.3,169,7.35,160,6.96,152,6.61,145,6.3,138,6,119,5.17,98,4.26,88,3.83,95,4.13,110,4.78,98,4.26,88,3.83,93,4.04,90,3.91,118,5.13,146,6.35,85,3.4,123,4.92,156,6.24,169,6.76,143,5.72,144,5.76
山梨県,3008,125.33,63,2.63,84,3.5,186,7.75,257,10.71,250,10.42,207,8.63,273,11.38,233,9.71,158,6.58,139,5.79,105,4.38,83,3.46,56,2.33,65,2.71,49,2.04,62,2.58,85,3.54,54,2.25,93,3.88,113,4.71,127,5.29,126,5.25,140,5.83
長野県,8645,163.11,165,3.06,353,6.54,531,9.83,582,10.78,530,9.81,510,9.62,478,9.02,454,8.57,435,8.21,377,7.11,305,5.75,211,3.98,232,4.38,197,3.72,278,5.25,279,5.26,297,5.6,199,3.75,358,6.63,411,7.61,461,8.54,453,8.39,549,10.17
岐阜県,5462,105.04,56,1.06,137,2.58,160,3.02,218,4.11,199,3.75,235,4.43,224,4.23,218,4.11,242,4.57,226,4.26,272,5.13,208,3.92,142,2.78,172,3.25,174,3.28,267,5.04,252,4.75,239,4.51,311,5.87,380,7.17,389,7.34,370,6.98,371,7
静岡県,11071,125.81,209,2.35,374,4.2,571,6.42,655,7.36,814,9.15,739,8.3,802,9.01,650,7.3,541,6.08,503,5.65,453,5.09,324,3.64,306,3.29,262,2.98,281,3.19,408,4.64,397,4.51,246,2.8,408,4.58,565,6.35,485,5.45,520,5.84,558,6.27
愛知県,23822,130.89,517,2.84,834,4.58,1036,5.69,1054,5.79,1187,6.52,1082,5.95,1277,7.02,1098,6.03,1154,6.34,1073,5.9,1116,6.13,856,4.7,873,4.77,769,4.23,787,4.32,1025,5.63,986,5.42,669,3.68,1084,5.96,1352,7.43,1304,7.16,1456,8,1233,6.77
三重県,6068,137.91,159,3.53,233,5.18,279,6.2,229,5.2,273,6.07,241,5.36,249,5.53,228,5.07,193,4.29,262,5.82,269,5.98,211,4.69,173,3.84,178,3.96,170,3.78,226,5.02,246,5.47,185,4.11,318,7.07,464,10.31,434,9.64,443,9.84,405,9
滋賀県,3832,109.49,112,3.11,175,4.86,265,7.36,200,5.56,216,6,238,6.61,227,6.31,195,5.42,156,4.33,165,4.58,154,4.28,133,3.69,114,3.17,82,2.34,160,4.44,105,2.92,175,4.86,91,2.68,153,4.25,189,5.25,182,5.06,186,5.17,159,4.42
京都府,8261,108.7,161,2.12,371,4.88,532,7,441,5.8,420,5.53,436,5.74,351,4.62,331,4.36,332,4.37,416,5.47,367,4.83,308,4.11,280,3.68,195,2.57,308,4.05,356,4.68,363,4.91,197,2.59,345,4.54,464,6.03,412,5.35,437,5.75,438,5.69
大阪府,24771,128.35,567,2.92,943,4.86,1261,6.5,1293,6.66,1345,6.93,1294,6.67,1322,6.81,1115,5.75,1108,5.71,1221,6.26,1127,5.78,925,4.74,785,4.03,873,4.5,966,4.98,1168,6.08,1108,5.68,748,3.86,1085,5.71,1360,7.16,1180,6.18,1071,5.58,906,4.74
兵庫県,21282,166.27,424,3.26,732,5.67,1127,8.74,1136,8.81,1301,10.09,1185,9.19,1202,9.32,1045,8.1,1155,8.95,1056,8.19,930,7.21,718,5.57,656,5.05,635,4.92,778,6.03,873,6.77,802,6.27,620,4.88,926,7.18,1057,8.19,1048,8.12,956,7.41,920,7.13
奈良県,4516,132.82,70,2.06,153,4.5,169,4.97,169,4.97,216,6.35,189,5.56,241,7.09,235,6.91,256,7.53,245,7.21,247,7.26,193,5.68,154,4.53,174,5.12,168,4.94,196,5.76,194,5.71,120,3.53,240,7.06,255,7.5,226,6.65,236,6.94,170,5
和歌山県,3077,102.57,62,2.07,99,3.3,138,4.6,134,4.47,182,6.07,170,5.67,155,5.17,129,4.3,141,4.7,126,4.2,120,4,119,3.97,106,3.53,120,4,143,4.77,154,5.13,193,6.43,82,2.73,139,4.63,140,4.67,152,5.07,137,4.57,136,4.53
鳥取県,3457,181.95,41,2.16,82,4.32,102,5.37,145,7.63,152,8,156,8.21,152,8,161,8.47,179,9.42,171,9,189,9.95,175,9.21,150,7.89,148,7.79,179,9.42,192,10.11,179,9.42,123,6.47,164,8.63,170,8.95,165,8.68,153,8.05,129,6.79
島根県,3155,137.17,53,2.3,101,4.39,181,7.87,175,7.61,190,8.26,200,8.7,223,9.7,207,9,165,7.17,161,7,112,4.87,77,3.35,82,3.57,72,3.13,120,5.22,169,7.35,116,5.04,94,4.09,120,5.22,144,6.26,130,5.65,140,6.09,123,5.35
岡山県,6856,126.96,266,4.93,373,6.91,529,9.8,413,7.65,395,7.31,385,7.13,384,7.11,260,4.81,242,4.48,250,4.63,216,4,209,3.87,165,3.06,218,4.04,193,3.57,231,4.28,306,5.67,246,4.56,264,4.89,311,5.76,317,5.87,339,6.28,344,6.37
広島県,9761,137.48,399,5.62,611,8.49,748,10.39,647,8.99,695,9.65,595,8.26,596,8.28,454,6.31,470,6.53,462,6.42,360,5,284,3.94,239,3.32,225,3.13,266,3.69,327,4.54,279,3.88,220,3.06,299,4.21,414,5.83,390,5.49,370,5.21,411,5.79
山口県,6261,142.3,143,3.18,242,5.38,302,6.71,310,6.89,429,9.53,533,11.84,454,10.09,465,10.33,371,8.24,347,7.71,256,5.69,218,4.84,193,4.29,126,2.8,172,4,169,3.93,201,4.67,140,3.26,200,4.65,233,5.42,194,4.51,249,5.79,314,7.3
徳島県,2865,124.57,101,4.39,126,5.48,172,7.48,133,5.78,166,7.22,183,7.96,166,7.22,149,6.48,170,7.39,138,6,142,6.17,109,4.74,114,4.96,74,3.22,101,4.39,131,5.7,108,4.7,73,3.17,115,5,100,4.35,119,5.17,86,3.74,89,3.87
香川県,5283,188.68,209,7.46,297,10.61,427,15.25,351,12.54,427,15.25,317,11.32,284,10.14,217,7.75,213,7.61,184,6.57,124,4.43,145,5.18,166,5.93,163,5.82,154,5.5,163,5.82,182,6.5,153,5.46,192,6.86,244,8.71,225,8.04,231,8.25,215,7.68
愛媛県,7741,215.03,161,4.35,291,7.86,403,10.89,350,9.46,442,11.95,387,10.46,649,17.54,513,13.86,510,13.78,444,12,384,10.38,314,8.49,208,5.78,210,5.68,258,6.97,282,7.62,242,6.54,151,4.08,275,7.43,327,8.84,293,7.92,343,9.27,304,8.22
高知県,2556,98.31,102,3.78,118,4.37,182,6.74,188,6.96,228,8.44,219,8.11,182,6.74,158,5.85,169,6.26,158,5.85,104,3.85,78,2.89,51,1.89,51,1.89,32,1.19,63,2.33,54,2,54,2,52,2,90,3.46,100,3.85,69,2.65,54,2.08
福岡県,16522,137.68,532,4.43,698,5.82,825,6.88,635,5.29,772,6.43,734,6.12,871,7.26,678,5.65,805,6.71,821,6.84,770,6.42,621,5.18,495,4.13,519,4.33,548,4.57,715,5.96,711,5.93,432,3.6,764,6.37,920,7.67,962,8.02,858,7.15,836,6.97
佐賀県,1774,77.13,48,2.09,52,2.26,67,2.91,65,2.83,59,2.57,75,3.26,94,4.09,84,3.65,104,4.52,112,4.87,70,3.04,67,2.91,63,2.74,67,2.91,85,3.7,103,4.48,100,4.35,31,1.35,92,4,77,3.35,127,5.52,74,3.22,58,2.52
長崎県,3543,80.52,142,3.23,186,4.23,254,5.77,220,5,202,4.59,235,5.34,204,4.64,152,3.45,165,3.75,141,3.2,122,2.77,132,3,102,2.32,104,2.36,144,3.27,135,3.07,132,3,89,2.02,116,2.64,141,3.2,136,3.09,163,3.7,126,2.86
熊本県,6716,137.06,233,4.66,335,6.7,352,7.04,295,5.9,325,6.5,351,7.02,330,6.6,283,5.66,284,5.68,311,6.22,255,5.1,204,4.16,168,3.43,182,3.79,212,4.51,230,4.79,208,4.24,167,3.34,288,5.76,374,7.48,355,7.1,429,8.76,545,10.9
大分県,9308,258.56,204,5.67,257,7.14,393,10.92,390,10.83,492,13.67,519,14.42,431,11.97,447,12.42,420,11.67,508,14.11,459,12.75,377,10.47,299,8.31,343,9.53,368,10.22,416,11.56,452,12.56,358,9.94,416,11.56,455,12.64,468,13,443,12.31,393,10.92
宮崎県,7781,222.31,175,4.86,292,8.11,409,11.69,439,12.19,488,13.56,500,13.89,521,14.47,437,12.14,379,10.53,341,9.47,308,8.56,283,7.86,252,7,294,8.17,372,10.33,355,9.86,362,10.34,218,6.06,277,7.69,322,8.94,237,6.58,274,7.61,246,6.83
鹿児島県,8987,169.57,184,3.41,272,5.04,445,8.24,423,7.83,551,10.2,536,9.93,468,8.67,461,8.54,475,8.8,579,10.72,565,10.46,379,7.02,262,5.04,317,5.98,356,6.72,389,7.34,358,6.75,238,4.49,368,6.94,360,6.79,387,7.3,344,6.49,270,5.09
沖縄県,1724,53.88,36,1.09,56,1.7,52,1.58,61,1.85,45,1.36,54,1.69,48,1.5,50,1.56,53,1.66,73,2.28,75,2.34,50,1.56,57,1.73,77,2.33,93,2.91,78,2.44,112,3.5,108,3.48,97,3.13,143,4.61,106,3.42,97,3.13,103,3.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,6099,1.94,274,0.09,267,0.08,234,0.07,230,0.07,205,0.06,185,0.06,251,0.08,199,0.06,203,0.06,186,0.06,238,0.08,224,0.07,239,0.08,302,0.1,283,0.09,271,0.09,283,0.09,229,0.07,344,0.11,312,0.1,397,0.13,346,0.11,397,0.13
北海道,322,2.33,23,0.17,20,0.14,22,0.16,13,0.09,9,0.06,12,0.09,25,0.18,6,0.04,22,0.16,16,0.12,12,0.09,22,0.16,12,0.09,15,0.11,9,0.06,8,0.06,16,0.11,5,0.04,14,0.1,13,0.09,6,0.04,13,0.09,9,0.07
青森県,46,1.15,2,0.05,0,0,0,0,0,0,7,0.17,0,0,2,0.05,4,0.1,4,0.1,7,0.17,1,0.02,0,0,3,0.07,2,0.05,2,0.05,0,0,1,0.03,3,0.08,1,0.03,1,0.03,1,0.03,3,0.08,2,0.05
岩手県,44,1.13,1,0.03,3,0.08,0,0,2,0.05,1,0.03,0,0,1,0.03,1,0.03,1,0.03,2,0.05,2,0.05,3,0.08,2,0.05,2,0.05,1,0.03,0,0,5,0.13,4,0.1,2,0.05,2,0.05,3,0.08,4,0.1,2,0.05
宮城県,106,1.89,3,0.05,7,0.12,9,0.16,3,0.05,2,0.03,2,0.03,1,0.02,8,0.14,2,0.03,5,0.09,1,0.02,3,0.05,2,0.03,3,0.05,3,0.05,2,0.04,6,0.11,4,0.07,8,0.15,7,0.13,7,0.13,6,0.11,12,0.22
秋田県,63,1.91,2,0.06,3,0.09,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,4,0.12,2,0.06,6,0.18,3,0.09,0,0,5,0.15,1,0.03,3,0.09,1,0.03,0,0,5,0.15,4,0.12,2,0.06,4,0.12,3,0.09,9,0.26
山形県,57,2.04,6,0.21,2,0.07,0,0,1,0.03,3,0.1,0,0,3,0.1,0,0,4,0.14,0,0,4,0.14,3,0.1,2,0.07,2,0.07,2,0.07,2,0.07,4,0.14,1,0.04,1,0.04,4,0.14,3,0.11,9,0.32,1,0.04
福島県,63,1.29,4,0.08,2,0.04,1,0.02,1,0.02,1,0.02,2,0.04,3,0.06,0,0,2,0.04,1,0.02,2,0.04,2,0.04,1,0.02,2,0.04,2,0.04,3,0.06,6,0.12,3,0.06,1,0.02,6,0.12,7,0.14,6,0.12,5,0.1
茨城県,137,1.83,3,0.04,4,0.05,4,0.05,4,0.05,3,0.04,0,0,1,0.01,5,0.07,4,0.05,6,0.08,6,0.08,2,0.03,1,0.01,6,0.08,6,0.08,12,0.16,15,0.19,9,0.12,10,0.13,2,0.03,13,0.17,7,0.09,14,0.19
栃木県,80,1.67,3,0.06,4,0.08,4,0.08,2,0.04,2,0.04,4,0.08,3,0.06,3,0.06,4,0.08,1,0.02,4,0.08,1,0.02,4,0.08,6,0.13,8,0.17,6,0.13,1,0.02,1,0.02,1,0.02,1,0.02,3,0.06,10,0.21,4,0.08
群馬県,124,2.34,3,0.06,4,0.08,2,0.04,11,0.21,5,0.09,10,0.19,7,0.13,9,0.17,13,0.25,1,0.02,7,0.13,1,0.02,0,0,6,0.11,6,0.11,1,0.02,3,0.06,5,0.09,4,0.07,8,0.15,3,0.06,7,0.13,8,0.15
埼玉県,461,2.86,17,0.11,13,0.08,5,0.03,16,0.1,13,0.08,20,0.12,21,0.13,12,0.07,18,0.11,14,0.09,18,0.11,21,0.13,19,0.12,36,0.22,12,0.07,20,0.12,8,0.05,18,0.11,24,0.15,21,0.13,33,0.2,35,0.21,47,0.29
千葉県,256,1.98,20,0.16,10,0.08,12,0.09,8,0.06,8,0.06,11,0.08,10,0.08,11,0.08,4,0.03,9,0.07,10,0.08,12,0.09,16,0.12,12,0.09,17,0.13,4,0.03,15,0.12,6,0.05,5,0.04,11,0.09,11,0.09,9,0.07,25,0.2
