報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,
2024年12週(03月18日～03月24日),2024年03月27日作成,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週
山形県,2804,100.14,73,2.61,159,5.68,253,9.04,244,8.71,302,10.79,267,9.54,213,7.61,244,8.71,323,11.54,285,10.18,266,9.5,175,6.25
福島県,2501,51.04,108,2.2,143,2.92,253,5.16,213,4.35,245,5,227,4.63,185,3.78,201,4.1,203,4.14,228,4.65,278,5.67,217,4.43
茨城県,4534,60.45,225,3,235,3.13,392,5.23,371,4.95,527,7.03,476,6.35,404,5.39,338,4.51,363,4.84,388,5.17,450,6,365,4.87
栃木県,1701,35.44,76,1.58,97,2.02,164,3.42,158,3.29,163,3.4,146,3.04,137,2.85,138,2.88,162,3.38,153,3.19,154,3.21,153,3.19
群馬県,2503,47.23,78,1.47,167,3.15,291,5.49,261,4.92,291,5.49,224,4.23,203,3.83,174,3.28,175,3.3,214,4.04,235,4.43,190,3.58
埼玉県,8729,53.55,366,2.3,491,2.99,849,5.18,940,5.73,877,5.35,850,5.21,679,4.17,701,4.3,691,4.21,771,4.7,830,5.06,684,4.17
千葉県,7387,59.1,300,2.38,471,3.74,646,5.17,726,5.85,708,5.57,687,5.5,554,4.43,623,4.98,582,4.66,717,5.74,774,6.19,599,4.79
東京都,10506,40.25,379,1.49,745,2.85,1054,4.04,1073,4.11,1090,4.18,1074,4.1,870,3.33,846,3.23,841,3.21,879,3.35,914,3.49,741,2.83
神奈川県,7577,33.09,291,1.3,507,2.21,797,3.51,685,2.98,711,3.13,662,2.87,590,2.54,578,2.49,604,2.63,749,3.26,786,3.42,617,2.67
新潟県,3902,70.95,119,2.16,202,3.67,356,6.47,348,6.33,341,6.2,418,7.6,289,5.25,322,5.85,349,6.35,407,7.4,386,7.02,365,6.64
富山県,2230,76.9,53,1.83,131,4.52,278,9.59,235,8.1,210,7.24,208,7.17,148,5.1,202,6.97,184,6.34,212,7.31,239,8.24,130,4.48
石川県,1032,36.86,57,2.11,47,1.74,78,2.89,100,3.57,104,3.71,111,3.96,98,3.38,108,3.72,95,3.28,107,3.69,71,2.45,56,1.93
福井県,1398,55.92,62,2.48,83,3.32,121,4.84,128,5.12,129,5.16,134,5.36,125,5,112,4.48,128,5.12,141,5.64,137,5.48,98,3.92
山梨県,554,23.08,17,0.71,22,0.92,52,2.17,45,1.88,65,2.71,55,2.29,45,1.88,44,1.83,47,1.96,47,1.96,60,2.5,55,2.29
長野県,2431,45.02,93,1.72,172,3.19,268,4.96,220,4.07,227,4.2,236,4.37,183,3.39,168,3.11,206,3.81,256,4.74,218,4.04,184,3.41
岐阜県,1380,26.04,27,0.51,55,1.04,99,1.87,135,2.55,122,2.3,129,2.43,115,2.17,127,2.4,121,2.28,145,2.74,165,3.11,140,2.64
静岡県,3842,43.17,131,1.47,222,2.49,318,3.57,370,4.16,391,4.39,364,4.09,260,2.92,351,3.94,334,3.75,369,4.15,395,4.44,337,3.79
愛知県,5040,27.69,211,1.16,314,1.73,422,2.32,503,2.76,447,2.46,535,2.94,389,2.14,434,2.38,355,1.95,495,2.72,490,2.69,445,2.45
三重県,2318,51.51,67,1.49,144,3.2,219,4.87,216,4.8,219,4.87,237,5.27,184,4.09,180,4,217,4.82,200,4.44,236,5.24,199,4.42
滋賀県,683,19.51,28,0.78,41,1.14,60,1.71,53,1.51,40,1.11,65,1.81,58,1.61,62,1.72,66,1.83,66,1.83,72,2,72,2
京都府,2110,28.13,78,1.05,148,1.95,188,2.51,203,2.71,222,2.96,221,2.95,179,2.36,192,2.53,198,2.61,174,2.29,182,2.39,125,1.64
大阪府,7715,39.16,303,1.54,512,2.6,715,3.63,758,3.85,814,4.13,851,4.3,569,2.87,600,3.03,617,3.12,709,3.58,658,3.32,609,3.08
兵庫県,4313,33.7,189,1.48,286,2.23,405,3.16,394,3.08,416,3.25,468,3.66,332,2.59,308,2.41,380,2.97,373,2.91,419,3.27,343,2.68
奈良県,1023,31,46,1.35,71,2.09,115,3.38,98,2.88,120,3.53,102,3,73,2.21,74,2.24,80,2.42,101,3.06,80,2.42,63,1.85
和歌山県,842,28.07,37,1.23,46,1.53,89,2.97,55,1.83,92,3.07,81,2.7,50,1.67,64,2.13,78,2.6,84,2.8,84,2.8,82,2.73
鳥取県,1746,91.89,44,2.32,92,4.84,178,9.37,189,9.95,203,10.68,199,10.47,163,8.58,138,7.26,131,6.89,168,8.84,126,6.63,115,6.05
島根県,526,22.87,25,1.09,39,1.7,51,2.22,43,1.87,47,2.04,45,1.96,44,1.91,51,2.22,38,1.65,60,2.61,45,1.96,38,1.65
岡山県,1517,28.09,65,1.2,88,1.63,131,2.43,121,2.24,131,2.43,156,2.89,121,2.24,131,2.43,165,3.06,160,2.96,125,2.31,123,2.28
広島県,2474,35.86,96,1.37,187,2.67,267,3.81,258,3.69,234,3.39,219,3.22,184,2.67,187,2.67,207,2.96,231,3.3,217,3.1,187,2.67
山口県,2682,62.37,128,2.98,146,3.4,214,4.98,238,5.53,252,5.86,274,6.37,232,5.4,188,4.37,276,6.42,311,7.23,238,5.53,185,4.3
徳島県,530,23.04,19,0.83,27,1.17,44,1.91,26,1.13,57,2.48,60,2.61,51,2.22,42,1.83,55,2.39,55,2.39,54,2.35,40,1.74
香川県,996,35.57,35,1.25,49,1.75,101,3.61,93,3.32,91,3.25,102,3.64,83,2.96,65,2.32,83,2.96,105,3.75,94,3.36,95,3.39
愛媛県,2415,67.08,79,2.19,141,3.81,195,5.27,232,6.27,222,6,230,6.22,225,6.08,225,6.08,206,5.57,229,6.19,240,6.49,191,5.16
高知県,1331,51.19,36,1.38,93,3.58,97,3.73,107,4.12,97,3.73,145,5.58,168,6.46,125,4.81,133,5.12,130,5,118,4.54,82,3.15
福岡県,10029,83.58,292,2.43,685,5.71,970,8.08,970,8.08,1088,9.07,1051,8.76,859,7.16,737,6.14,808,6.73,948,7.9,914,7.62,707,5.89
佐賀県,1368,59.48,35,1.52,88,3.83,146,6.35,144,6.26,136,5.91,157,6.83,73,3.17,104,4.52,108,4.7,112,4.87,151,6.57,114,4.96
長崎県,1928,44.84,64,1.45,132,3,163,3.7,138,3.14,216,4.91,215,4.89,160,3.64,123,2.86,161,3.74,206,4.79,190,4.42,160,3.72
熊本県,1888,37.76,80,1.6,145,2.9,186,3.72,154,3.08,198,3.96,211,4.22,118,2.36,142,2.84,153,3.06,153,3.06,200,4,148,2.96
大分県,1401,38.92,69,1.92,115,3.19,145,4.03,138,3.83,150,4.17,119,3.31,101,2.81,85,2.36,100,2.78,138,3.83,126,3.5,115,3.19
宮崎県,2151,59.75,91,2.53,136,3.78,242,6.72,205,5.69,216,6,201,5.58,158,4.39,144,4,160,4.44,200,5.56,196,5.44,202,5.61
鹿児島県,2591,50.8,106,2.08,200,3.92,250,4.9,236,4.63,249,4.88,242,4.75,237,4.65,221,4.33,227,4.45,234,4.59,202,3.96,187,3.67
沖縄県,1773,57.19,83,2.68,125,4.03,148,4.77,153,4.94,203,6.55,234,7.55,153,4.94,151,4.87,125,4.03,115,3.71,176,5.68,107,3.45
,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,218157,69.68,8781,2.83,16795,5.36,23875,7.63,23806,7.6,23290,7.44,21606,6.9,17961,5.73,17114,5.46,17197,5.48,17593,5.61,16698,5.33,13441,4.28
北海道,4873,35.31,159,1.19,243,1.75,450,3.24,436,3.14,494,3.55,528,3.8,457,3.29,360,2.59,408,2.94,537,3.89,408,2.96,393,2.85
青森県,1831,49.49,95,2.57,193,5.22,285,7.7,277,7.49,214,5.78,182,4.92,103,2.78,106,2.86,116,3.14,102,2.76,91,2.46,67,1.81
岩手県,3296,86.74,81,2.08,208,5.33,260,6.67,346,8.87,361,9.26,347,9.13,298,7.84,280,7.37,315,8.08,307,7.87,252,6.46,241,6.18
宮城県,3367,61.22,116,2.11,228,4.15,363,6.6,302,5.49,342,6.22,298,5.42,261,4.75,299,5.44,300,5.45,321,5.84,278,5.05,259,4.71
秋田県,968,30.25,35,1.13,60,1.82,106,3.21,93,2.82,91,2.76,93,2.82,96,2.91,89,2.7,69,2.09,89,2.7,82,2.48,65,1.97
山形県,1662,59.36,36,1.29,110,3.93,183,6.54,173,6.18,144,5.14,170,6.07,141,5.04,168,6,187,6.68,141,5.04,127,4.54,82,2.93
福島県,2623,53.53,73,1.49,134,2.73,217,4.43,235,4.8,249,5.08,288,5.88,281,5.73,232,4.73,228,4.65,285,5.82,234,4.78,167,3.41
茨城県,4757,63.43,218,2.91,355,4.73,518,6.91,550,7.33,505,6.73,477,6.36,464,6.19,374,4.99,352,4.69,340,4.53,315,4.2,289,3.85
栃木県,1867,38.9,103,2.15,179,3.73,253,5.27,192,4,233,4.85,183,3.81,151,3.15,123,2.56,148,3.08,131,2.73,91,1.9,80,1.67
群馬県,3678,69.4,119,2.25,254,4.79,425,8.02,383,7.23,422,7.96,446,8.42,324,6.11,284,5.36,296,5.58,277,5.23,259,4.89,189,3.57
埼玉県,13554,83.15,526,3.31,1181,7.2,1655,10.09,1692,10.32,1473,8.98,1221,7.49,1181,7.25,1040,6.38,1005,6.13,955,5.82,932,5.68,693,4.23
千葉県,9462,75.7,461,3.66,865,6.87,1172,9.38,1102,8.89,1018,8.02,817,6.54,731,5.85,649,5.19,676,5.41,761,6.09,642,5.14,568,4.54
東京都,21628,82.87,911,3.57,2056,7.88,2785,10.67,2805,10.75,2488,9.53,2113,8.06,1611,6.17,1492,5.69,1468,5.6,1408,5.37,1395,5.32,1096,4.18
神奈川県,14384,62.81,705,3.16,1487,6.49,1980,8.72,1909,8.3,1671,7.36,1422,6.16,1035,4.46,914,3.94,909,3.95,899,3.91,843,3.67,610,2.64
新潟県,2627,47.76,68,1.24,131,2.38,194,3.53,235,4.27,316,5.75,261,4.75,225,4.09,264,4.8,257,4.67,255,4.64,220,4,201,3.65
富山県,3006,103.66,99,3.41,114,3.93,170,5.86,221,7.62,226,7.79,254,8.76,237,8.17,272,9.38,385,13.28,348,12,365,12.59,315,10.86
石川県,3402,121.5,108,4,204,7.56,315,11.67,379,13.54,330,11.79,371,13.25,314,10.83,344,11.86,307,10.59,261,9,296,10.21,173,5.97
福井県,2289,91.56,81,3.24,145,5.8,198,7.92,191,7.64,255,10.2,260,10.4,146,5.84,184,7.36,209,8.36,231,9.24,213,8.52,176,7.04
山梨県,1151,47.96,49,2.04,80,3.33,134,5.58,118,4.92,91,3.79,102,4.25,103,4.29,83,3.46,100,4.17,99,4.13,84,3.5,108,4.5
長野県,3052,56.52,110,2.04,217,4.02,276,5.11,312,5.78,347,6.43,301,5.57,259,4.8,240,4.44,253,4.69,253,4.69,254,4.7,230,4.26
岐阜県,2491,47,73,1.38,189,3.57,270,5.09,227,4.28,263,4.96,235,4.43,241,4.55,219,4.13,197,3.72,201,3.79,210,3.96,166,3.13
静岡県,5316,59.73,252,2.83,395,4.44,492,5.53,654,7.35,555,6.24,514,5.78,453,5.09,435,4.89,398,4.47,480,5.39,388,4.36,300,3.37
愛知県,9833,54.03,349,1.92,738,4.05,1020,5.6,1087,5.97,1034,5.68,1010,5.55,889,4.88,867,4.76,736,4.04,769,4.23,750,4.12,584,3.21
三重県,3430,76.22,118,2.62,240,5.33,333,7.4,323,7.18,378,8.4,345,7.67,334,7.42,285,6.33,284,6.31,248,5.51,280,6.22,262,5.82
滋賀県,1886,53.89,58,1.61,156,4.33,162,4.63,169,4.83,183,5.08,166,4.61,149,4.14,199,5.53,178,4.94,177,4.92,159,4.42,130,3.61
京都府,4184,55.79,112,1.51,241,3.17,389,5.19,426,5.68,411,5.48,440,5.87,374,4.92,342,4.5,378,4.97,387,5.09,361,4.75,323,4.25
大阪府,14354,72.86,488,2.48,917,4.65,1432,7.27,1542,7.83,1638,8.31,1446,7.3,1163,5.87,1119,5.65,1179,5.95,1228,6.2,1197,6.05,1005,5.08
兵庫県,11275,88.09,342,2.67,728,5.69,1066,8.33,1211,9.46,1081,8.45,1174,9.17,843,6.59,969,7.57,981,7.66,1089,8.51,1022,7.98,769,6.01
奈良県,2519,76.33,73,2.15,189,5.56,305,8.97,281,8.26,285,8.38,287,8.44,202,6.12,181,5.48,174,5.27,187,5.67,211,6.39,144,4.24
和歌山県,2124,70.8,58,1.93,118,3.93,120,4,147,4.9,206,6.87,196,6.53,199,6.63,212,7.07,207,6.9,198,6.6,265,8.83,198,6.6
鳥取県,1472,77.47,33,1.74,92,4.84,131,6.89,108,5.68,141,7.42,136,7.16,151,7.95,142,7.47,144,7.58,159,8.37,129,6.79,106,5.58
島根県,2145,93.26,72,3.13,176,7.65,288,12.52,278,12.09,271,11.78,214,9.3,142,6.17,160,6.96,149,6.48,149,6.48,139,6.04,107,4.65
岡山県,3970,73.52,177,3.28,242,4.48,285,5.28,327,6.06,421,7.8,406,7.52,431,7.98,396,7.33,349,6.46,296,5.48,358,6.63,282,5.22
広島県,6690,96.96,237,3.39,441,6.3,682,9.74,704,10.06,740,10.72,720,10.59,569,8.25,599,8.56,562,8.03,515,7.36,532,7.6,389,5.56
山口県,2875,66.86,142,3.3,265,6.16,345,8.02,271,6.3,275,6.4,273,6.35,193,4.49,208,4.84,231,5.37,230,5.35,265,6.16,177,4.12
徳島県,1356,58.96,86,3.74,85,3.7,178,7.74,141,6.13,128,5.57,137,5.96,113,4.91,98,4.26,100,4.35,102,4.43,85,3.7,103,4.48
香川県,3170,113.21,154,5.5,275,9.82,376,13.43,385,13.75,379,13.54,375,13.39,239,8.54,220,7.86,229,8.18,179,6.39,204,7.29,155,5.54
愛媛県,4234,117.61,178,4.94,270,7.3,433,11.7,409,11.05,373,10.08,419,11.32,357,9.65,340,9.19,409,11.05,412,11.14,354,9.57,280,7.57
高知県,1201,46.19,18,0.69,77,2.96,111,4.27,109,4.19,137,5.27,169,6.5,88,3.38,87,3.35,117,4.5,114,4.38,97,3.73,77,2.96
福岡県,7572,63.1,484,4.03,681,5.68,875,7.29,751,6.26,728,6.07,626,5.22,620,5.17,560,4.67,531,4.43,611,5.09,630,5.25,475,3.96
佐賀県,1140,49.57,68,2.96,89,3.87,132,5.74,135,5.87,92,4,90,3.91,85,3.7,93,4.04,110,4.78,96,4.17,86,3.74,64,2.78
長崎県,2139,49.74,125,2.84,161,3.66,298,6.77,218,4.95,192,4.36,173,3.93,116,2.64,136,3.16,167,3.88,228,5.3,180,4.19,145,3.37
熊本県,4575,91.5,197,3.94,371,7.42,575,11.5,517,10.34,469,9.38,421,8.42,345,6.9,314,6.28,296,5.92,388,7.76,375,7.5,307,6.14
大分県,4433,123.14,212,5.89,290,8.06,455,12.64,373,10.36,474,13.17,531,14.75,364,10.11,322,8.94,389,10.81,391,10.86,330,9.17,302,8.39
宮崎県,4125,114.58,205,5.69,379,10.53,507,14.08,448,12.44,464,12.89,411,11.42,314,8.72,362,10.06,298,8.28,300,8.33,234,6.5,203,5.64
鹿児島県,5379,105.47,255,5,480,9.41,623,12.22,547,10.73,623,12.22,495,9.71,494,9.69,383,7.51,370,7.25,393,7.71,395,7.75,321,6.29
沖縄県,792,25.55,62,2,66,2.13,53,1.71,67,2.16,79,2.55,63,2.03,75,2.42,69,2.23,46,1.48,66,2.13,81,2.61,65,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,5088,1.63,452,0.15,450,0.14,480,0.15,406,0.13,434,0.14,427,0.14,365,0.12,399,0.13,404,0.13,428,0.14,434,0.14,409,0.13
北海道,264,1.91,17,0.13,30,0.22,20,0.14,29,0.21,21,0.15,17,0.12,23,0.17,17,0.12,17,0.12,21,0.15,33,0.24,19,0.14
青森県,50,1.35,5,0.14,8,0.22,6,0.16,2,0.05,2,0.05,2,0.05,1,0.03,6,0.16,2,0.05,9,0.24,5,0.14,2,0.05
岩手県,70,1.84,7,0.18,10,0.26,9,0.23,4,0.1,1,0.03,5,0.13,10,0.26,5,0.13,8,0.21,8,0.21,1,0.03,2,0.05
宮城県,100,1.82,10,0.18,12,0.22,4,0.07,4,0.07,8,0.15,5,0.09,12,0.22,5,0.09,7,0.13,14,0.25,11,0.2,8,0.15
秋田県,58,1.81,11,0.35,7,0.21,5,0.15,4,0.12,1,0.03,4,0.12,0,0,5,0.15,2,0.06,3,0.09,4,0.12,12,0.36
山形県,55,1.96,5,0.18,4,0.14,1,0.04,5,0.18,3,0.11,8,0.29,7,0.25,6,0.21,1,0.04,5,0.18,7,0.25,3,0.11
福島県,108,2.2,5,0.1,14,0.29,4,0.08,9,0.18,7,0.14,13,0.27,8,0.16,7,0.14,5,0.1,17,0.35,9,0.18,10,0.2
茨城県,70,0.93,8,0.11,6,0.08,5,0.07,3,0.04,5,0.07,6,0.08,5,0.07,6,0.08,10,0.13,4,0.05,5,0.07,7,0.09
栃木県,37,0.77,0,0,1,0.02,3,0.06,1,0.02,2,0.04,8,0.17,3,0.06,3,0.06,5,0.1,4,0.08,3,0.06,4,0.08
群馬県,59,1.11,3,0.06,9,0.17,3,0.06,6,0.11,5,0.09,7,0.13,5,0.09,8,0.15,6,0.11,3,0.06,4,0.08,0,0
埼玉県,414,2.54,29,0.18,41,0.25,43,0.26,25,0.15,36,0.22,23,0.14,24,0.15,41,0.25,35,0.21,40,0.24,37,0.23,40,0.24
千葉県,199,1.59,15,0.12,15,0.12,24,0.19,13,0.1,17,0.13,12,0.1,14,0.11,16,0.13,22,0.18,14,0.11,27,0.22,10,0.08
東京都,551,2.11,31,0.12,50,0.19,43,0.16,42,0.16,25,0.1,53,0.2,32,0.12,65,0.25,49,0.19,57,0.22,48,0.18,56,0.21
神奈川県,449,1.96,69,0.31,40,0.17,42,0.19,34,0.15,42,0.19,44,0.19,35,0.15,27,0.12,30,0.13,34,0.15,22,0.1,30,0.13
新潟県,110,2,10,0.18,9,0.16,4,0.07,8,0.15,5,0.09,7,0.13,1,0.02,20,0.36,15,0.27,14,0.25,10,0.18,7,0.13
富山県,51,1.76,3,0.1,12,0.41,14,0.48,4,0.14,4,0.14,6,0.21,1,0.03,1,0.03,3,0.1,0,0,2,0.07,1,0.03
石川県,112,4,7,0.26,11,0.41,3,0.11,16,0.57,13,0.46,15,0.54,11,0.38,6,0.21,8,0.28,6,0.21,7,0.24,9,0.31
福井県,36,1.44,1,0.04,2,0.08,5,0.2,4,0.16,8,0.32,3,0.12,3,0.12,2,0.08,1,0.04,4,0.16,1,0.04,2,0.08
山梨県,34,1.42,0,0,1,0.04,0,0,0,0,15,0.63,3,0.13,6,0.25,1,0.04,2,0.08,0,0,1,0.04,5,0.21
長野県,65,1.2,2,0.04,2,0.04,7,0.13,8,0.15,6,0.11,6,0.11,1,0.02,2,0.04,7,0.13,6,0.11,11,0.2,7,0.13
岐阜県,29,0.55,0,0,4,0.08,2,0.04,2,0.04,2,0.04,4,0.08,1,0.02,2,0.04,3,0.06,1,0.02,5,0.09,3,0.06
静岡県,130,1.46,11,0.12,7,0.08,17,0.19,10,0.11,4,0.04,19,0.21,7,0.08,11,0.12,5,0.06,9,0.1,22,0.25,8,0.09
愛知県,151,0.83,19,0.1,9,0.05,13,0.07,16,0.09,13,0.07,10,0.05,7,0.04,13,0.07,10,0.05,9,0.05,15,0.08,17,0.09
三重県,54,1.2,5,0.11,0,0,5,0.11,5,0.11,5,0.11,8,0.18,1,0.02,5,0.11,4,0.09,4,0.09,6,0.13,6,0.13
滋賀県,64,1.83,4,0.11,6,0.17,6,0.17,4,0.11,0,0,5,0.14,7,0.19,3,0.08,5,0.14,11,0.31,7,0.19,6,0.17
京都府,108,1.44,7,0.09,11,0.14,17,0.23,9,0.12,11,0.15,9,0.12,6,0.08,4,0.05,9,0.12,3,0.04,15,0.2,7,0.09
大阪府,304,1.54,30,0.15,30,0.15,31,0.16,27,0.14,27,0.14,28,0.14,18,0.09,16,0.08,25,0.13,26,0.13,18,0.09,28,0.14
兵庫県,176,1.38,24,0.19,7,0.05,19,0.15,26,0.2,15,0.12,19,0.15,10,0.08,18,0.14,3,0.02,13,0.1,12,0.09,10,0.08
奈良県,43,1.3,2,0.06,2,0.06,7,0.21,1,0.03,10,0.29,4,0.12,5,0.15,6,0.18,1,0.03,2,0.06,1,0.03,2,0.06
和歌山県,28,0.93,2,0.07,2,0.07,2,0.07,4,0.13,0,0,0,0,1,0.03,2,0.07,1,0.03,5,0.17,3,0.1,6,0.2
鳥取県,20,1.05,0,0,2,0.11,0,0,1,0.05,1,0.05,2,0.11,2,0.11,1,0.05,3,0.16,1,0.05,5,0.26,2,0.11
島根県,20,0.87,5,0.22,3,0.13,2,0.09,3,0.13,1,0.04,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.09
岡山県,51,0.94,6,0.11,4,0.07,5,0.09,3,0.06,3,0.06,6,0.11,2,0.04,3,0.06,5,0.09,4,0.07,1,0.02,9,0.17
広島県,91,1.32,14,0.2,8,0.11,16,0.23,4,0.06,8,0.12,5,0.07,8,0.12,4,0.06,7,0.1,8,0.11,3,0.04,6,0.09
山口県,37,0.86,6,0.14,5,0.12,5,0.12,1,0.02,5,0.12,1,0.02,4,0.09,4,0.09,3,0.07,2,0.05,0,0,1,0.02
徳島県,17,0.74,0,0,0,0,1,0.04,0,0,2,0.09,1,0.04,2,0.09,1,0.04,4,0.17,3,0.13,2,0.09,1,0.04
香川県,36,1.29,6,0.21,2,0.07,3,0.11,1,0.04,3,0.11,2,0.07,2,0.07,2,0.07,8,0.29,2,0.07,4,0.14,1,0.04
愛媛県,57,1.58,5,0.14,2,0.05,8,0.22,3,0.08,7,0.19,5,0.14,6,0.16,6,0.16,6,0.16,4,0.11,3,0.08,2,0.05
高知県,29,1.12,2,0.08,4,0.15,2,0.08,1,0.04,1,0.04,1,0.04,4,0.15,1,0.04,1,0.04,2,0.08,5,0.19,5,0.19
福岡県,301,2.51,33,0.28,24,0.2,24,0.2,36,0.3,34,0.28,27,0.23,24,0.2,15,0.13,20,0.17,21,0.18,18,0.15,25,0.21
佐賀県,43,1.87,5,0.22,4,0.17,6,0.26,1,0.04,2,0.09,0,0,1,0.04,3,0.13,3,0.13,8,0.35,5,0.22,5,0.22
長崎県,58,1.35,3,0.07,6,0.14,4,0.09,7,0.16,6,0.14,7,0.16,14,0.32,2,0.05,0,0,4,0.09,2,0.05,3,0.07
熊本県,123,2.46,4,0.08,11,0.22,23,0.46,5,0.1,26,0.52,3,0.06,5,0.1,11,0.22,15,0.3,6,0.12,9,0.18,5,0.1
大分県,34,0.94,5,0.14,2,0.06,2,0.06,3,0.08,5,0.14,2,0.06,0,0,2,0.06,2,0.06,5,0.14,4,0.11,2,0.06
宮崎県,29,0.81,3,0.08,1,0.03,2,0.06,4,0.11,2,0.06,1,0.03,4,0.11,3,0.08,1,0.03,3,0.08,2,0.06,3,0.08
鹿児島県,75,1.47,5,0.1,2,0.04,4,0.08,1,0.02,6,0.12,3,0.06,15,0.29,5,0.1,15,0.29,5,0.1,12,0.24,2,0.04
沖縄県,88,2.84,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29,7,0.23,6,0.19,6,0.19,9,0.29,4,0.13,7,0.23,8,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,6833,2.18,442,0.14,411,0.13,547,0.17,626,0.2,684,0.22,590,0.19,532,0.17,593,0.19,684,0.22,550,0.18,652,0.21,522,0.17
北海道,38,0.28,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01,2,0.01,4,0.03,3,0.02,2,0.01,4,0.03,2,0.01,2,0.01
青森県,29,0.78,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05,3,0.08,1,0.03,1,0.03,0,0,2,0.05,0,0,0,0
岩手県,71,1.87,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33,5,0.13,7,0.18,1,0.03,0,0,1,0.03,7,0.18,1,0.03
宮城県,30,0.55,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07,3,0.05,1,0.02,2,0.04,0,0,0,0,6,0.11,1,0.02
秋田県,58,1.81,2,0.06,6,0.18,3,0.09,14,0.42,8,0.24,7,0.21,7,0.21,4,0.12,0,0,4,0.12,3,0.09,0,0
山形県,120,4.29,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5,31,1.11,16,0.57,12,0.43,13,0.46,1,0.04,1,0.04,1,0.04
福島県,19,0.39,2,0.04,1,0.02,2,0.04,0,0,2,0.04,4,0.08,3,0.06,2,0.04,2,0.04,1,0.02,0,0,0,0
茨城県,28,0.37,8,0.11,4,0.05,0,0,2,0.03,0,0,2,0.03,0,0,1,0.01,5,0.07,3,0.04,2,0.03,1,0.01
栃木県,78,1.63,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15,5,0.1,4,0.08,3,0.06,3,0.06,4,0.08,13,0.27,6,0.13
群馬県,214,4.04,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34,11,0.21,15,0.28,10,0.19,14,0.26,22,0.42,21,0.4,28,0.53
埼玉県,142,0.87,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1,14,0.09,6,0.04,13,0.08,22,0.13,5,0.03,13,0.08,8,0.05
千葉県,41,0.33,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02,3,0.02,1,0.01,0,0,3,0.02,1,0.01,7,0.06,0,0
東京都,171,0.66,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06,21,0.08,13,0.05,10,0.04,4,0.02,1,0,8,0.03,4,0.02
神奈川県,135,0.59,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08,18,0.08,19,0.08,4,0.02,15,0.07,7,0.03,11,0.05,9,0.04
新潟県,46,0.84,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24,4,0.07,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0
富山県,35,1.21,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21,4,0.14,4,0.14,0,0,2,0.07,1,0.03,1,0.03,0,0
石川県,62,2.21,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46,3,0.11,8,0.28,6,0.21,3,0.1,1,0.03,7,0.24,2,0.07
福井県,237,9.48,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36,9,0.36,14,0.56,41,1.64,41,1.64,27,1.08,42,1.68,34,1.36
山梨県,38,1.58,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21,4,0.17,0,0,0,0,1,0.04,2,0.08,1,0.04,1,0.04
